* Measurement data measured by REW V5.20.4
* Source:
* Format:
* Dated: 2021/12/25 19:43:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 18.8 dB
* Note: 
* Measurement: Variations S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
3400.000000 95.947 166.6030
3450.000000 95.860 164.9404
3500.000000 95.756 163.3111
3550.000000 95.633 161.7484
3600.000000 95.491 160.2901
3650.000000 95.334 158.9710
3700.000000 95.167 157.8128
3750.000000 94.996 156.8184
3820.000000 94.759 155.6731
3870.000000 94.597 154.9987
3950.000000 94.354 154.1007
4000.000000 94.211 153.6233
4060.000000 94.046 153.1197
4120.000000 93.889 152.6879
4180.000000 93.739 152.3247
4250.000000 93.576 151.9781
4310.000000 93.446 151.7337
4370.000000 93.327 151.5219
4440.000000 93.199 151.2971
4500.000000 93.099 151.1100
4550.000000 93.021 150.9501
4620.000000 92.918 150.7116
4680.000000 92.834 150.4892
4750.000000 92.739 150.2045
4820.000000 92.645 149.8914
4870.000000 92.577 149.6517
4940.000000 92.479 149.2975
5000.000000 92.391 148.9811
5080.000000 92.264 148.5496
5150.000000 92.144 148.1747
5220.000000 92.014 147.8168
5300.000000 91.853 147.4487
5380.000000 91.678 147.1465
5450.000000 91.514 146.9546
5520.000000 91.342 146.8462
5600.000000 91.137 146.8419
5700.000000 90.869 147.0420
5800.000000 90.593 147.4965
5900.000000 90.314 148.2245
6000.000000 90.038 149.2349
6080.000000 89.826 150.2464
6150.000000 89.651 151.2779
6220.000000 89.487 152.4435
6300.000000 89.318 153.9345
6400.000000 89.137 156.0219
6500.000000 88.999 158.3334
6600.000000 88.909 160.8383
6700.000000 88.875 163.5011
6800.000000 88.908 166.2798
6900.000000 89.017 169.1179
7000.000000 89.216 171.9355
7100.000000 89.514 174.6230
7200.000000 89.920 177.0355
7300.000000 90.433 178.9887
7400.000000 91.044 -179.7507
7500.000000 91.722 -179.4503
7620.000000 92.556 179.2927
7750.000000 93.362 175.6410
7880.000000 93.915 169.7552
8000.000000 94.099 163.1385
8120.000000 93.945 156.5952
8250.000000 93.457 150.8589
8380.000000 92.767 147.2166
8500.000000 92.084 145.6752
8620.000000 91.464 145.4719
8750.000000 90.938 146.1582
8850.000000 90.658 146.9319
9000.000000 90.431 147.8800
9120.000000 90.373 148.0375
9250.000000 90.367 147.3036
9380.000000 90.339 145.5633
9500.000000 90.230 143.2535
9620.000000 90.000 140.6575
9750.000000 89.608 138.0656
9880.000000 89.091 136.1870
10000.000000 88.550 135.2969
10150.000000 87.860 135.2699
10300.000000 87.222 136.1223
10440.000000 86.699 137.3539
10600.000000 86.186 138.9528
10750.000000 85.765 140.4595
10900.000000 85.382 141.8943
11060.000000 84.989 143.3364
11200.000000 84.638 144.5856
11380.000000 84.161 146.3782
11500.000000 83.829 147.8242
11720.000000 83.251 151.0829
11800.000000 83.067 152.3806
12060.000000 82.572 156.3092
12200.000000 82.319 158.0623
12410.000000 81.867 160.5707
12500.000000 81.642 161.7819
12650.000000 81.245 164.1414
12800.000000 80.853 166.9180
13150.000000 80.078 174.1594
13200.000000 79.982 175.2049
13400.000000 79.617 179.3584
13600.000000 79.267 -176.4736
13800.000000 78.924 -172.2123
14000.000000 78.593 -167.8024
14300.000000 78.130 -160.7890
14500.000000 77.868 -155.7958
14750.000000 77.627 -149.2259
15000.000000 77.517 -142.4290
15250.000000 77.566 -135.6257
15500.000000 77.782 -129.0637
15750.000000 78.157 -122.9844
16000.000000 78.667 -117.6005
16250.000000 79.283 -113.1078
16500.000000 79.965 -109.7413
16750.000000 80.653 -107.8131
17000.000000 81.255 -107.6332
17250.000000 81.663 -109.3287
17500.000000 81.771 -112.6794
17750.000000 81.493 -117.0554
18000.000000 80.771 -121.4598
18250.000000 79.577 -124.5946
18500.000000 77.903 -124.9044
18750.000000 75.770 -120.8567
19000.000000 73.265 -111.9965
19250.000000 70.607 -100.2311
19500.000000 68.138 -89.0938
19750.000000 66.181 -81.1723
