frequency,raw
3902.64,9.11
3941.66,9.11
3981.08,9.11
4020.89,9.06
4061.10,9.04
4101.71,8.99
4142.73,8.91
4184.15,8.79
4226.00,8.68
4268.26,8.58
4310.94,8.46
4354.05,8.31
4397.59,8.18
4441.56,8.07
4485.98,7.98
4530.84,7.99
4576.15,7.96
4621.91,7.91
4668.13,7.91
4714.81,7.94
4761.96,7.80
4809.58,7.54
4857.67,7.31
4906.25,7.08
4955.31,6.92
5004.87,6.79
5054.91,6.69
5105.46,6.61
5156.52,6.57
5208.08,6.60
5260.16,6.58
5312.77,6.43
5365.89,6.26
5419.55,6.12
5473.75,5.97
5528.49,5.81
5583.77,5.66
5639.61,5.51
5696.00,5.39
5752.96,5.30
5810.49,5.24
5868.60,5.17
5927.28,5.08
5986.56,4.99
6046.42,4.98
6106.89,4.94
6167.96,4.89
6229.64,4.82
6291.93,4.77
6354.85,4.70
6418.40,4.72
6482.58,4.73
6547.41,4.69
6612.88,4.63
6679.01,4.59
6745.80,4.64
6813.26,4.64
6881.39,4.61
6950.21,4.61
7019.71,4.61
7089.91,4.61
7160.81,4.64
7232.41,4.71
7304.74,4.77
7377.79,4.86
7451.56,4.95
7526.08,5.07
7601.34,5.21
7677.35,5.37
7754.13,5.57
7831.67,5.78
7909.98,6.02
7989.08,6.30
8068.98,6.60
8149.67,6.92
8231.16,7.27
8313.47,7.62
8396.61,8.00
8480.57,8.40
8565.38,8.78
8651.03,9.14
8737.54,9.42
8824.92,9.60
8913.17,9.64
9002.30,9.47
9092.32,9.16
9183.25,8.68
9275.08,8.12
9367.83,7.47
9461.51,6.76
9556.12,6.03
9651.68,5.29
9748.20,4.59
9845.68,3.88
9944.14,3.22
10043.58,2.63
10144.02,2.04
10245.46,1.48
10347.91,1.03
10451.39,0.67
10555.91,0.34
10661.46,0.04
10768.08,-0.33
10875.76,-0.62
10984.52,-0.86
11094.36,-1.05
11205.31,-1.20
11317.36,-1.28
11430.53,-1.35
11544.84,-1.30
11660.29,-1.24
11776.89,-1.14
11894.66,-0.96
12013.60,-0.70
12133.74,-0.41
12255.08,-0.03
12377.63,0.47
12501.41,1.02
12626.42,1.72
12752.68,2.52
12880.21,3.44
13009.01,4.46
13139.10,5.42
13270.49,6.30
13403.20,6.86
13537.23,6.73
13672.60,5.95
13809.33,4.72
13947.42,3.31
14086.90,1.83
14227.77,0.47
14370.04,-0.75
14513.74,-1.83
14658.88,-2.78
14805.47,-3.63
14953.52,-4.41
15103.06,-5.07
15254.09,-5.68
15406.63,-6.18
15560.70,-6.59
15716.30,-6.92
15873.47,-7.18
16032.20,-7.33
16192.52,-7.37
16354.45,-7.32
16517.99,-7.13
16683.17,-6.88
16850.01,-6.57
17018.51,-6.16
17188.69,-5.66
17360.58,-5.12
17534.18,-4.56
17709.53,-4.09
17886.62,-3.75
18065.49,-3.63
18246.14,-3.90
18428.60,-4.42
18612.89,-5.16
18799.02,-6.10
18987.01,-7.21
19176.88,-8.28
19368.65,-9.37
19562.33,-10.68
19757.96,-11.98
19955.54,-12.89
