* Measurement data measured by REW V5.19
* Source: D:\crinaclecom\Data\Targets\IEF Neutral.csv
* Format: Comma/Tab/Space delimited data
* Dated: 28 Jun, 2020 12:55:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from D:\crinaclecom\Data\Targets\IEF Neutral.csv Format: Comma/Tab/Space delimited data 500 values loaded, 10 Hz to 20,000 Hz 
* Measurement: IEF Neutral.csv
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
728.825, 59.850, 0
739.426, 59.850, 0
750.181, 59.850, 0
761.093, 59.850, 0
772.163, 59.850, 0
783.394, 59.850, 0
794.789, 59.850, 0
806.349, 59.850, 0
818.078, 59.850, 0
829.977, 59.850, 0
842.050, 59.850, 0
854.297, 59.850, 0
866.724, 59.850, 0
879.330, 59.850, 0
892.120, 59.850, 0
905.097, 59.852, 0
918.262, 59.854, 0
931.618, 59.858, 0
945.169, 59.865, 0
958.917, 59.879, 0
972.864, 59.899, 0
987.015, 59.924, 0
1001.371, 59.948, 0
1015.937, 59.973, 0
1030.714, 60.000, 0
1045.706, 60.028, 0
1060.916, 60.060, 0
1076.347, 60.099, 0
1092.003, 60.141, 0
1107.887, 60.190, 0
1124.001, 60.240, 0
1140.350, 60.291, 0
1156.937, 60.342, 0
1173.765, 60.396, 0
1190.838, 60.464, 0
1208.159, 60.540, 0
1225.732, 60.619, 0
1243.561, 60.699, 0
1261.649, 60.780, 0
1280.000, 60.868, 0
1298.618, 60.961, 0
1317.507, 61.055, 0
1336.670, 61.150, 0
1356.113, 61.247, 0
1375.838, 61.351, 0
1395.850, 61.464, 0
1416.153, 61.581, 0
1436.751, 61.700, 0
1457.649, 61.820, 0
1478.851, 61.941, 0
1500.362, 62.063, 0
1522.185, 62.187, 0
1544.326, 62.313, 0
1566.789, 62.451, 0
1589.578, 62.592, 0
1612.699, 62.734, 0
1636.156, 62.879, 0
1659.955, 63.028, 0
1684.099, 63.180, 0
1708.595, 63.334, 0
1733.447, 63.494, 0
1758.661, 63.661, 0
1784.241, 63.833, 0
1810.193, 64.009, 0
1836.523, 64.188, 0
1863.236, 64.368, 0
1890.338, 64.551, 0
1917.833, 64.741, 0
1945.729, 64.935, 0
1974.030, 65.145, 0
2002.743, 65.330, 0
2031.873, 65.496, 0
2061.428, 65.659, 0
2091.412, 65.820, 0
2121.832, 65.983, 0
2152.695, 66.142, 0
2184.007, 66.292, 0
2215.774, 66.436, 0
2248.003, 66.579, 0
2280.701, 66.726, 0
2313.874, 66.876, 0
2347.530, 67.023, 0
2381.676, 67.162, 0
2416.318, 67.297, 0
2451.464, 67.423, 0
2487.122, 67.529, 0
2523.298, 67.608, 0
2560.000, 67.681, 0
2597.236, 67.754, 0
2635.014, 67.853, 0
2673.341, 67.945, 0
2712.226, 68.018, 0
2751.676, 68.077, 0
2791.700, 68.134, 0
2832.306, 68.192, 0
2873.503, 68.250, 0
2915.299, 68.310, 0
2957.703, 68.372, 0
3000.724, 68.434, 0
3044.370, 68.493, 0
3088.652, 68.555, 0
3133.577, 68.608, 0
3179.156, 68.642, 0
3225.398, 68.674, 0
3272.312, 68.705, 0
3319.909, 68.725, 0
3368.198, 68.738, 0
3417.190, 68.746, 0
3466.894, 68.750, 0
3517.321, 68.755, 0
3568.482, 68.749, 0
3620.387, 68.728, 0
3673.046, 68.698, 0
3726.472, 68.662, 0
3780.675, 68.611, 0
3835.666, 68.552, 0
3891.457, 68.486, 0
3948.060, 68.414, 0
4005.486, 68.333, 0
4063.747, 68.242, 0
4122.855, 68.147, 0
4182.824, 68.047, 0
4243.664, 67.940, 0
4305.390, 67.829, 0
4368.013, 67.714, 0
4431.547, 67.591, 0
4496.005, 67.463, 0
4561.401, 67.331, 0
4627.749, 67.191, 0
4695.061, 67.048, 0
4763.352, 66.905, 0
4832.637, 66.777, 0
4902.929, 66.652, 0
4974.244, 66.521, 0
5046.596, 66.383, 0
5120.000, 66.251, 0
5194.472, 66.128, 0
5270.027, 66.010, 0
5346.682, 65.898, 0
5424.451, 65.796, 0
5503.352, 65.705, 0
5583.399, 65.616, 0
5664.612, 65.526, 0
5747.006, 65.436, 0
5830.598, 65.347, 0
5915.406, 65.261, 0
6001.447, 65.175, 0
6088.740, 65.075, 0
6177.303, 64.952, 0
6267.154, 64.833, 0
6358.312, 64.728, 0
6450.796, 64.623, 0
6544.625, 64.514, 0
6639.818, 64.402, 0
6736.397, 64.290, 0
6834.380, 64.164, 0
6933.789, 64.020, 0
7034.643, 63.873, 0
7136.964, 63.726, 0
7240.773, 63.580, 0
7346.093, 63.432, 0
7452.944, 63.280, 0
7561.350, 63.125, 0
7671.332, 62.971, 0
7782.915, 62.823, 0
7896.120, 62.673, 0
8010.971, 62.521, 0
8127.493, 62.355, 0
8245.711, 62.181, 0
8365.647, 62.003, 0
8487.328, 61.826, 0
8610.779, 61.647, 0
8736.026, 61.469, 0
8863.095, 61.279, 0
8992.011, 61.072, 0
9122.803, 60.879, 0
9255.497, 60.698, 0
9390.121, 60.503, 0
9526.704, 60.285, 0
9665.273, 60.039, 0
9805.857, 59.790, 0
9948.487, 59.544, 0
10093.191, 59.301, 0
10240.000, 59.072, 0
10388.944, 58.809, 0
10540.055, 58.596, 0
10693.363, 58.362, 0
10848.902, 58.029, 0
11006.703, 57.672, 0
11166.799, 57.363, 0
11329.224, 57.058, 0
11494.012, 56.702, 0
11661.195, 56.338, 0
11830.812, 56.006, 0
12002.895, 55.686, 0
12177.480, 55.376, 0
12354.606, 55.065, 0
12534.309, 54.730, 0
12716.624, 54.381, 0
12901.592, 54.033, 0
13089.250, 53.761, 0
13279.637, 53.562, 0
13472.794, 53.378, 0
13668.760, 53.200, 0
13867.577, 53.023, 0
14069.285, 52.860, 0
14273.928, 52.706, 0
14481.547, 52.551, 0
14692.186, 52.401, 0
14905.889, 52.279, 0
15122.700, 52.171, 0
15342.664, 52.066, 0
15565.829, 51.935, 0
15792.239, 51.772, 0
16021.942, 51.602, 0
16254.986, 51.423, 0
16491.422, 51.181, 0
16731.295, 50.876, 0
16974.656, 50.571, 0
17221.559, 50.222, 0
17472.053, 49.769, 0
17726.189, 49.047, 0
17984.021, 48.388, 0
18245.605, 47.656, 0
18510.994, 46.804, 0
18780.242, 45.666, 0
19053.408, 44.518, 0
19330.547, 43.418, 0
19611.715, 41.612, 0
19896.975, 39.960, 0
