* Measurement data measured by REW V5.20.7
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Jun 13, 2022 12:22:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = IEF Neutral (iem) B = Default Dataset
* Measurement: A times B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
1241.000000, 2.134
1250.000000, 2.225
1265.000000, 2.371
1280.000000, 2.596
1315.000000, 3.013
1320.000000, 3.069
1340.000000, 3.227
1360.000000, 3.409
1380.000000, 3.592
1400.000000, 3.749
1430.000000, 3.969
1450.000000, 4.120
1475.000000, 4.303
1500.000000, 4.471
1525.000000, 4.607
1550.000000, 4.727
1575.000000, 4.849
1600.000000, 4.991
1625.000000, 5.163
1650.000000, 5.342
1675.000000, 5.516
1700.000000, 5.672
1725.000000, 5.813
1750.000000, 5.957
1775.000000, 6.106
1800.000000, 6.252
1825.000000, 6.396
1850.000000, 6.544
1875.000000, 6.694
1900.000000, 6.840
1925.000000, 6.984
1950.000000, 7.137
1975.000000, 7.308
2000.000000, 7.487
2030.000000, 7.715
2060.000000, 7.942
2090.000000, 8.055
2120.000000, 8.265
2140.000000, 8.418
2180.000000, 8.724
2200.000000, 8.877
2240.000000, 9.085
2270.000000, 9.275
2300.000000, 9.512
2330.000000, 9.707
2360.000000, 9.902
2400.000000, 10.225
2430.000000, 10.400
2470.000000, 10.624
2500.000000, 10.800
2540.000000, 11.019
2580.000000, 11.249
2620.000000, 11.384
2650.000000, 11.528
2690.000000, 11.712
2720.000000, 11.776
2760.000000, 11.871
2800.000000, 12.007
2850.000000, 12.058
2900.000000, 12.079
2950.000000, 12.045
3000.000000, 11.994
3040.000000, 11.942
3070.000000, 11.892
3110.000000, 11.739
3150.000000, 11.576
3200.000000, 11.463
3250.000000, 11.339
3300.000000, 11.124
3350.000000, 10.931
3400.000000, 10.712
3450.000000, 10.522
3500.000000, 10.295
3550.000000, 10.129
3600.000000, 9.955
3650.000000, 9.799
3700.000000, 9.628
3750.000000, 9.405
3820.000000, 9.212
3870.000000, 9.078
3950.000000, 8.833
4000.000000, 8.676
4060.000000, 8.592
4120.000000, 8.422
4180.000000, 8.277
4250.000000, 8.190
4310.000000, 8.124
4370.000000, 8.038
4440.000000, 8.056
4500.000000, 8.018
4550.000000, 8.000
4620.000000, 7.981
4680.000000, 7.975
4750.000000, 7.985
4820.000000, 8.013
4870.000000, 8.047
4940.000000, 8.103
5000.000000, 8.148
5080.000000, 8.213
5150.000000, 8.290
5220.000000, 8.375
5300.000000, 8.468
5380.000000, 8.553
5450.000000, 8.615
5520.000000, 8.668
5600.000000, 8.726
5700.000000, 8.788
5800.000000, 8.840
5900.000000, 8.849
6000.000000, 8.798
6080.000000, 8.737
6150.000000, 8.594
6220.000000, 8.476
6300.000000, 8.374
6400.000000, 8.209
6500.000000, 8.008
6600.000000, 7.779
6700.000000, 7.528
6800.000000, 7.270
6900.000000, 7.014
7000.000000, 6.767
7100.000000, 6.533
7200.000000, 6.312
7300.000000, 6.030
7400.000000, 5.781
7500.000000, 5.611
7620.000000, 5.419
7750.000000, 5.231
7880.000000, 5.064
8000.000000, 4.925
8120.000000, 4.799
8250.000000, 4.668
8380.000000, 4.523
8500.000000, 4.293
8620.000000, 4.136
8750.000000, 3.917
8850.000000, 3.701
9000.000000, 3.320
9120.000000, 2.973
9250.000000, 2.449
9380.000000, 1.952
9500.000000, 1.462
9620.000000, 0.972
9750.000000, 0.294
