* Measurement data measured by REW V5.19
* Source: C:\Users\Admin\Desktop\a.csv
* Format: Comma/Tab/Space delimited data
* Dated: Nov 20, 2021 6:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Admin\Desktop\a.csv Format: Comma/Tab/Space delimited data 944 values loaded, 20 Hz to 20,000 Hz
* Measurement: a.csv
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.4 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
534.302, -0.183, 0
538.174, -0.166, 0
542.074, -0.198, 0
546.002, -0.209, 0
549.958, -0.195, 0
553.943, -0.196, 0
557.958, -0.192, 0
562.001, -0.200, 0
566.073, -0.220, 0
570.175, -0.203, 0
574.307, -0.224, 0
578.469, -0.233, 0
582.660, -0.220, 0
586.883, -0.239, 0
591.135, -0.234, 0
595.419, -0.233, 0
599.734, -0.238, 0
604.080, -0.251, 0
608.457, -0.253, 0
612.866, -0.232, 0
617.307, -0.249, 0
621.780, -0.232, 0
626.286, -0.251, 0
630.824, -0.243, 0
635.396, -0.245, 0
640.000, -0.255, 0
644.638, -0.240, 0
649.309, -0.271, 0
654.014, -0.267, 0
658.753, -0.259, 0
663.527, -0.269, 0
668.335, -0.251, 0
673.178, -0.253, 0
678.056, -0.272, 0
682.970, -0.257, 0
687.919, -0.265, 0
692.904, -0.270, 0
697.925, -0.270, 0
702.982, -0.266, 0
708.076, -0.260, 0
713.208, -0.251, 0
718.376, -0.270, 0
723.581, -0.271, 0
728.825, -0.261, 0
734.106, -0.248, 0
739.426, -0.268, 0
744.784, -0.258, 0
750.181, -0.224, 0
755.617, -0.232, 0
761.093, -0.266, 0
766.608, -0.263, 0
772.163, -0.209, 0
777.758, -0.209, 0
783.394, -0.227, 0
789.071, -0.227, 0
794.789, -0.210, 0
800.548, -0.210, 0
806.349, -0.211, 0
812.193, -0.206, 0
818.078, -0.185, 0
824.006, -0.161, 0
829.977, -0.150, 0
835.992, -0.150, 0
842.050, -0.150, 0
848.151, -0.150, 0
854.297, -0.150, 0
860.488, -0.150, 0
866.724, -0.150, 0
873.004, -0.151, 0
879.330, -0.134, 0
885.702, -0.099, 0
892.120, -0.105, 0
898.585, -0.122, 0
905.097, -0.107, 0
911.655, -0.091, 0
918.262, -0.090, 0
924.916, -0.086, 0
931.618, -0.053, 0
938.369, -0.052, 0
945.169, -0.070, 0
952.018, -0.043, 0
958.917, -0.063, 0
965.865, -0.038, 0
972.864, -0.040, 0
979.914, -0.040, 0
987.015, -0.030, 0
994.167, -0.031, 0
1001.371, -0.024, 0
1008.628, -0.029, 0
1015.937, -0.010, 0
1023.299, -0.026, 0
1030.714, -0.048, 0
1038.183, -0.039, 0
1045.706, -0.039, 0
1053.283, -0.060, 0
1060.916, -0.096, 0
1068.604, -0.110, 0
1076.347, -0.121, 0
1084.147, -0.156, 0
1092.003, -0.162, 0
1099.916, -0.206, 0
1107.887, -0.230, 0
1115.915, -0.241, 0
1124.001, -0.239, 0
1132.146, -0.272, 0
1140.350, -0.294, 0
1148.614, -0.300, 0
1156.937, -0.305, 0
1165.321, -0.337, 0
1173.765, -0.371, 0
1182.271, -0.375, 0
1190.838, -0.401, 0
1199.467, -0.422, 0
1208.159, -0.497, 0
1216.914, -0.517, 0
1225.732, -0.564, 0
1234.614, -0.603, 0
1243.561, -0.662, 0
1252.572, -0.710, 0
1261.649, -0.744, 0
1270.791, -0.771, 0
1280.000, -0.818, 0
1289.275, -0.805, 0
1298.618, -0.832, 0
1308.028, -0.923, 0
1317.507, -0.979, 0
1327.054, -1.021, 0
1336.670, -1.038, 0
1346.357, -1.072, 0
1356.113, -1.119, 0
1365.940, -1.144, 0
1375.838, -1.176, 0
1385.808, -1.218, 0
1395.850, -1.211, 0
1405.965, -1.233, 0
1416.153, -1.249, 0
1426.415, -1.281, 0
1436.751, -1.318, 0
1447.163, -1.333, 0
1457.649, -1.350, 0
1468.212, -1.362, 0
1478.851, -1.361, 0
1489.568, -1.389, 0
1500.362, -1.395, 0
1511.234, -1.421, 0
1522.185, -1.431, 0
1533.215, -1.449, 0
1544.326, -1.440, 0
1555.517, -1.467, 0
1566.789, -1.456, 0
1578.142, -1.479, 0
1589.578, -1.463, 0
1601.097, -1.481, 0
1612.699, -1.489, 0
1624.385, -1.505, 0
1636.156, -1.508, 0
1648.012, -1.498, 0
1659.955, -1.531, 0
1671.983, -1.532, 0
1684.099, -1.550, 0
1696.303, -1.561, 0
1708.595, -1.559, 0
1720.976, -1.593, 0
1733.447, -1.607, 0
1746.008, -1.609, 0
1758.661, -1.636, 0
1771.405, -1.640, 0
1784.241, -1.641, 0
1797.170, -1.654, 0
1810.193, -1.660, 0
1823.311, -1.667, 0
1836.523, -1.689, 0
1849.831, -1.710, 0
1863.236, -1.720, 0
1876.738, -1.752, 0
1890.338, -1.777, 0
1904.036, -1.790, 0
1917.833, -1.813, 0
1931.730, -1.825, 0
1945.729, -1.829, 0
1959.828, -1.847, 0
1974.030, -1.860, 0
1988.334, -1.866, 0
2002.743, -1.872, 0
2017.255, -1.858, 0
2031.873, -1.869, 0
2046.597, -1.880, 0
2061.428, -1.880, 0
2076.365, -1.874, 0
2091.412, -1.876, 0
2106.567, -1.889, 0
2121.832, -1.909, 0
2137.208, -1.913, 0
2152.695, -1.929, 0
2168.294, -1.949, 0
2184.007, -1.970, 0
2199.833, -1.991, 0
2215.774, -1.988, 0
2231.830, -2.016, 0
2248.003, -1.998, 0
2264.293, -2.030, 0
2280.701, -2.007, 0
2297.228, -2.030, 0
2313.874, -2.023, 0
2330.642, -2.006, 0
2347.530, -1.991, 0
2364.542, -2.027, 0
2381.676, -1.982, 0
2398.935, -2.002, 0
2416.318, -2.005, 0
2433.828, -1.969, 0
2451.464, -1.978, 0
2469.229, -1.997, 0
2487.122, -1.996, 0
2505.145, -2.010, 0
2523.298, -1.969, 0
2541.583, -1.969, 0
2560.000, -1.986, 0
2578.551, -1.995, 0
2597.236, -1.972, 0
2616.057, -1.948, 0
2635.014, -1.940, 0
2654.108, -1.936, 0
2673.341, -1.908, 0
2692.713, -1.880, 0
2712.226, -1.877, 0
2731.879, -1.857, 0
2751.676, -1.832, 0
2771.615, -1.819, 0
2791.700, -1.820, 0
2811.930, -1.778, 0
2832.306, -1.787, 0
2852.830, -1.757, 0
2873.503, -1.774, 0
2894.325, -1.739, 0
2915.299, -1.727, 0
2936.424, -1.735, 0
2957.703, -1.695, 0
2979.136, -1.681, 0
3000.724, -1.668, 0
3022.468, -1.631, 0
